"","site","DSi","TN","TP","Chla","Temperature","DO","Conductivity","pH","ORP","season","date","P_uM","N_uM","Si_uM","lon","lat"
"1","JS1",22.1,24.4,0.33,14.71,32.472,0.4,783,7.93,-1095,"Falling"," 3/20/2020",10.6541791938021,1742.02346020119,367.816551079067,104.455062709747,12.5112395592566
"2","JS1",11.1,1.9,0.48,2.506,28.808,6.157,67.084,7.52,243.074,"High"," 11/15/2020",15.4969879182577,135.649367802552,184.740439682246,104.455062709747,12.5112395592566
"3","JS10",20.4,3.7,0.12,2.76,30.57,5.37,149.05,7.785,97.8,"Falling"," 3/20/2020",3.87424697956441,264.159295194443,339.522970226831,104.443477217427,12.5156998004564
"4","JS10",10.5,3.8,0.1,1.627,28.154,6.769,65.854,7.89,306.649,"High"," 11/15/2020",3.22853914963701,271.298735605103,174.754469969693,104.443477217427,12.5156998004564
"5","JS11",18.3,1.6,0.65,1.71,29.88,3.93,76.1,8.48,101.35,"Falling"," 3/20/2020",20.9855044726406,114.23104657057,304.572076232893,104.480556074849,12.5420926354889
"6","JS11",11.3,3.2,0.22,1.414,27.994,6.136,77.951,7.31,327.067,"High"," 11/15/2020",7.10278612920142,228.46209314114,188.069096253098,104.480556074849,12.5420926354889
"7","JS12",19.5,21.2,0.44,2.22,29.499,5.575,339.8,7.665,124.2,"Falling"," 3/20/2020",14.2055722584028,1513.56136706005,324.544015658,104.507999771287,12.5688033822463
"8","JS12",8.1,4.6,0.14,0.872,27.45,5.094,62.9,7.39,311.076,"High"," 11/15/2020",4.51995480949182,328.414258890388,134.810591119477,104.507999771287,12.5688033822463
"9","JS13",19.2,5.4,0.42,4.03,29.702,5.775,132.15,8.705,92.25,"Falling"," 3/20/2020",13.5598644284754,385.529782175673,319.551030801724,104.474480469167,12.5173685926785
"10","JS13",11.1,3.4,0.09,1.401,27.987,6.721,66.297,7.71,272.909,"High"," 11/15/2020",2.90568523467331,242.740973962461,184.740439682246,104.474480469167,12.5173685926785
"11","JS14",16.9,5.2,0.21,4.015,29.625,6.295,131.7,8.355,96.8,"Falling"," 3/20/2020",6.77993221423772,371.250901354352,281.271480236934,104.492848236501,12.5092407839757
"12","JS14",11.5,4.9,0.19,1.549,27.436,6.777,66.226,7.58,329.214,"High"," 11/15/2020",6.13422438431032,349.83258012237,191.397752823949,104.492848236501,12.5092407839757
"13","JS15",19,10.8,0.46,4.795,30.75,5.695,118.35,8.895,72.35,"Falling"," 3/20/2020",14.8512800883302,771.059564351346,316.222374230872,104.445780934241,12.5397056944967
"14","JS15",11.2,4.4,0.15,1.334,27.893,6.601,74.808,7.41,318.996,"High"," 11/15/2020",4.84280872445552,314.135378069067,186.404767967672,104.445780934241,12.5397056944967
"15","JS16",19,6.3,0.31,2.37,30.73,4.095,151.25,8.125,90.9,"Falling"," 3/20/2020",10.0084713638747,449.784745871619,316.222374230872,104.448870839027,12.5145275939519
"16","JS16",14,4,0.24,1.683,27.845,6.723,65.167,7.72,273.975,"High"," 11/15/2020",7.74849395912883,285.577616426424,233.00595995959,104.448870839027,12.5145275939519
"17","JS17",18.7,12.3,0.41,2.55,29.79,5.1,148.85,8.13,106.7,"Falling"," 3/20/2020",13.2370105135117,878.151170511255,311.229389374595,104.455565632728,12.5153655070463
"18","JS17",10,3.9,0.2,1.742,27.943,6.725,65.335,7.65,238.6,"High"," 11/15/2020",6.45707829927402,278.438176015764,166.432828542564,104.455565632728,12.5153655070463
"19","JS18",19.4,9.6,0.25,4.98,31.278,3.46,274.2,8.08,82.4,"Falling"," 3/20/2020",8.07134787409253,685.386279423419,322.879687372575,104.45463012865,12.5136293276662
"20","JS18",9.9,2.9,0.1,2.056,27.989,5.559,66.517,7.68,258.142,"High"," 11/15/2020",3.22853914963701,207.043771909158,164.768500257139,104.45463012865,12.5136293276662
"21","JS2",19,1.6,0.11,2.39,30.524,5.35,148,8.58,96.3,"Falling"," 3/20/2020",3.55139306460071,114.23104657057,316.222374230872,104.435800192596,12.5153962421709
"22","JS2",11.6,2.3,0.21,1.81,28.54,5.725,66.976,7.6,264.692,"High"," 11/15/2020",6.77993221423772,164.207129445194,193.062081109375,104.435800192596,12.5153962421709
"23","JS3",19.6,11.4,0.36,6.16,33.435,7.23,150.3,9.93,40.9,"Falling"," 3/20/2020",11.6227409386932,813.89620681531,326.208343943426,104.420393584014,12.5128405990345
"24","JS3",11.9,9.7,0.43,2.484,28.537,6.995,65.4,7.74,261.128,"High"," 11/15/2020",13.8827183434391,692.525719834079,198.055065965652,104.420393584014,12.5128405990345
"25","JS4",22.1,6.2,0.17,2.955,30.465,5.435,149.3,9.045,76.3,"Falling"," 3/20/2020",5.48851655438292,442.645305460958,367.816551079067,104.422105375996,12.5254193809313
"26","JS4",11.5,5.1,0.17,1.759,28.549,6.864,64.744,7.9,257.784,"High"," 11/15/2020",5.48851655438292,364.111460943691,191.397752823949,104.422105375996,12.5254193809313
"27","JS5",19,11.7,0.36,4.865,30.76,6.245,112.85,9.47,52.6,"Falling"," 3/20/2020",11.6227409386932,835.314528047292,316.222374230872,104.442018095723,12.5405007632969
"28","JS5",9.9,3.6,0.27,1.259,27.825,7.148,73.655,7.48,281.565,"High"," 11/15/2020",8.71705570401993,257.019854783782,164.768500257139,104.442018095723,12.5405007632969
"29","JS6",16.3,15.2,0.23,4.41,29.985,5.915,133.3,9.09,71.2,"Falling"," 3/20/2020",7.42564004416512,1085.19494242041,271.28551052438,104.442618910542,12.5266761964949
"30","JS6",7.2,5.3,0.46,1.799,28.147,7.015,75.795,7.56,321.285,"High"," 11/15/2020",14.8512800883302,378.390341765012,119.831636550646,104.442618910542,12.5266761964949
"31","JS7",21.4,4.2,0.06,3.975,29.85,5.77,139.3,8.83,87.4,"Falling"," 3/20/2020",1.93712348978221,299.856497247746,356.166253081088,104.46021420168,12.5201406886883
"32","JS7",12.7,3,0.27,1.308,27.705,6.698,72.096,7.66,316.542,"High"," 11/15/2020",8.71705570401993,214.183212319818,211.369692249057,104.46021420168,12.5201406886883
"33","JS8",18.6,12.6,0.42,4.15,29.01,6.415,118.45,8.505,105.05,"Falling"," 3/20/2020",13.5598644284754,899.569491743237,309.56506108917,104.46244579958,12.5251680170836
"34","JS8",10.6,2.6,0.29,0.879,28.108,4.759,76.483,7.44,333.028,"High"," 11/15/2020",9.36276353394733,185.625450677176,176.418798255118,104.46244579958,12.5251680170836
"35","JS9",19.2,6,0.1,4.78,30.895,4.975,121.25,8.93,75.25,"Falling"," 3/20/2020",3.22853914963701,428.366424639637,319.551030801724,104.445451323262,12.5284357279934
"36","JS9",10,3.7,0.05,1.221,27.906,6.756,74.276,7.5,313.024,"High"," 11/15/2020",1.61426957481851,264.159295194443,166.432828542564,104.445451323262,12.5284357279934
