SITE,TRANSECT_POINT,latitude,longitude,ENVIRON,UNDERWATER_d,DIST_FPL_m,LOCATION
AnRe.1,1,12.65388,104.16687,Pelagic,365,-1960,Central
AnRe.2,2,12.65222,104.14899,Edge,301,0,Central
AnRe.3,3,12.64567,104.1413,Floodplain,251,1100,Central
AnRe.4,4,12.64003,104.13542,Floodplain,166,2010,Central
AnRe.5,5,12.63007,104.12852,Floodplain,98,3290,Central
AnRe.6,6,12.6254,104.12143,Floodplain,54,4250,Central
KaPr.1,1,12.51286,104.48435,Pelagic,327,-390,Southwest
KaPr.2,2,12.51012,104.48435,Edge,301,0,Southwest
KaPr.3,3,12.50553,104.47363,Floodplain,244,1310,Southwest
KaPr.4,4,12.49585,104.47293,Floodplain,170,2030,Southwest
KaPr.5,5,12.48966,104.46839,Floodplain,121,2850,Southwest
KaPr.6,6,12.48377,104.46389,Floodplain,150,3610,Southwest
PrKo.1,1,13.0735,103.71883,Pelagic,349,-2780,Northwest
PrKo.2,2,13.06167,103.69593,Edge,301,0,Northwest
PrKo.3,3,13.06082,103.68385,Floodplain,155,1380,Northwest
PrKo.4,4,13.05496,103.68333,Floodplain,128,1570,Northwest
PrKo.5,5,13.03392,103.65775,Floodplain,81,3750,Northwest
PrKo.6,6,13.04305,103.66675,Floodplain,86,5150,Northwest
