hydro_day,water_level_m
0,0.67125
1,0.679375
2,0.684375
3,0.691875
4,0.68875
5,0.695
6,0.66625
7,0.669375
8,0.676875
9,0.686875
10,0.6875
11,0.705
12,0.7075
13,0.72125
14,0.756875
15,0.7725
16,0.783125
17,0.784375
18,0.775
19,0.795625
20,0.801875
21,0.811875
22,0.8125
23,0.833125
24,0.8475
25,0.853125
26,0.8675
27,0.858125
28,0.87875
29,0.905625
30,0.944375
31,0.96
32,0.96375
33,0.983125
34,1.019375
35,1.0625
36,1.09
37,1.101875
38,1.125625
39,1.13125
40,1.146875
41,1.183125
42,1.23
43,1.255
44,1.284375
45,1.311875
46,1.345
47,1.378125
48,1.436875
49,1.475
50,1.479375
51,1.51
52,1.52
53,1.53375
54,1.57625
55,1.6125
56,1.626875
57,1.66875
58,1.71875
59,1.761875
60,1.829375
61,1.86125
62,1.92875
63,1.98375
64,2.07
65,2.14
66,2.171875
67,2.23125
68,2.288125
69,2.3525
70,2.416875
71,2.470625
72,2.5325
73,2.595
74,2.67625
75,2.76125
76,2.829375
77,2.89125
78,2.96125
79,3.0375
80,3.0925
81,3.169375
82,3.2675
83,3.37
84,3.44
85,3.524375
86,3.59625
87,3.664375
88,3.746875
89,3.834375
90,3.910625
91,3.98625
92,4.05375
93,4.11625
94,4.186875
95,4.2325
96,4.285625
97,4.34375
98,4.389375
99,4.445625
100,4.506875
101,4.55625
102,4.61125
103,4.665
104,4.73
105,4.773125
106,4.825625
107,4.885625
108,4.940625
109,4.9775
110,5.05
111,5.1
112,5.156875
113,5.203125
114,5.245
115,5.284375
116,5.33125
117,5.380625
118,5.425625
119,5.48125
120,5.535
121,5.581875
122,5.604375
123,5.636875
124,5.70125
125,5.755625
126,5.779375
127,5.826875
128,5.881875
129,5.9375
130,5.989375
131,6.02625
132,6.066875
133,6.10125
134,6.13375
135,6.1625
136,6.19
137,6.204375
138,6.21875
139,6.243125
140,6.24
141,6.250625
142,6.260625
143,6.2725
144,6.271875
145,6.28125
146,6.268125
147,6.284375
148,6.290625
149,6.31125
150,6.30625
151,6.30625
152,6.295625
153,6.30375
154,6.299375
155,6.298125
156,6.3025
157,6.31
158,6.315625
159,6.321875
160,6.31875
161,6.314375
162,6.305
163,6.28875
164,6.275
165,6.25625
166,6.235625
167,6.218125
168,6.18875
169,6.1525
170,6.1225
171,6.08875
172,6.03875
173,6.0025
174,5.969375
175,5.933125
176,5.87875
177,5.850625
178,5.814375
179,5.776875
180,5.73375
181,5.6925
182,5.653125
183,5.605
184,5.5725
185,5.525625
186,5.483125
187,5.43375
188,5.383125
189,5.335625
190,5.296875
191,5.2475
192,5.199375
193,5.15375
194,5.100625
195,5.049375
196,5.00875
197,4.96625
198,4.905625
199,4.84625
200,4.79375
201,4.739375
202,4.683125
203,4.63125
204,4.579375
205,4.515625
206,4.46
207,4.409375
208,4.350625
209,4.303125
210,4.245
211,4.199375
212,4.14625
213,4.091875
214,4.05375
215,3.991875
216,3.939375
217,3.883125
218,3.824375
219,3.7675
220,3.708125
221,3.659375
222,3.6125
223,3.55375
224,3.525625
225,3.453125
226,3.405625
227,3.36125
228,3.301875
229,3.342
230,3.194375
231,3.14875
232,3.096875
233,3.036875
234,2.984375
235,2.930625
236,2.8575
237,2.813125
238,2.773125
239,2.75125
240,2.715625
241,2.643125
242,2.5975
243,2.559375
244,2.52125
245,2.486875
246,2.44375
247,2.38
248,2.350625
249,2.3175
250,2.276875
251,2.235
252,2.211875
253,2.229375
254,2.170625
255,2.1275
256,2.045
257,2.020625
258,1.9775
259,1.934375
260,1.88625
261,1.8675
262,1.836875
263,1.80375
264,1.79125
265,1.76
266,1.72
267,1.7
268,1.639375
269,1.621875
270,1.585625
271,1.549375
272,1.530625
273,1.511875
274,1.473125
275,1.445
276,1.4225
277,1.40375
278,1.40875
279,1.385625
280,1.360625
281,1.359375
282,1.335
283,1.31
284,1.27875
285,1.2575
286,1.2325
287,1.214375
288,1.21
289,1.20875
290,1.189375
291,1.1725
292,1.154375
293,1.1475
294,1.126875
295,1.09875
296,1.105625
297,1.085625
298,1.07375
299,1.0475
300,1.04
301,1.029375
302,1.01
303,0.996875
304,0.975625
305,0.96875
306,0.96125
307,0.944375
308,0.940625
309,0.92
310,0.915625
311,0.915
312,0.905625
313,0.893125
314,0.904375
315,0.899375
316,0.88375
317,0.891875
318,0.898125
319,0.905
320,0.913125
321,0.906875
322,0.89125
323,0.88625
324,0.8725
325,0.86375
326,0.85625
327,0.86375
328,0.855625
329,0.841875
330,0.8375
331,0.835
332,0.83125
333,0.819375
334,0.81875
335,0.795625
336,0.803125
337,0.7925
338,0.789375
339,0.773125
340,0.75375
341,0.75125
342,0.738125
343,0.703125
344,0.70875
345,0.70125
346,0.698125
347,0.715
348,0.70625
349,0.69375
350,0.679285714285714
351,0.671428571428572
352,0.668571428571429
353,0.663571428571429
354,0.656428571428571
355,0.651428571428571
356,0.647142857142857
357,0.645714285714286
358,0.673571428571429
359,0.66
360,0.660714285714286
361,0.644285714285714
362,0.647857142857143
363,0.665
364,0.659285714285714
