y,x,f_df_1,f_df_2,f_value,p_value
DIP,season,158,3,31.8130365705839,3.83324855771013e-16
DIP,dataset,158,3,21.0426720823979,1.60252481962742e-11
DIP,region,158,3,21.0426720823979,1.60252481962742e-11
DIN,season,164,3,21.8843732531725,5.68969834394735e-12
DIN,dataset,164,4,62.839139933911,4.08333830854922e-32
DIN,region,164,4,62.839139933911,4.08333830854922e-32
TP,season,167,3,28.8668546606658,4.33593347846197e-15
TP,dataset,167,3,128.332455400005,3.82998605599424e-43
TP,region,167,3,128.332455400005,3.82998605599424e-43
TN,season,136,3,30.9147112178101,2.65737790938967e-15
TN,dataset,136,2,11.7526483933996,1.9585665036859e-05
TN,region,136,2,11.7526483933996,1.9585665036859e-05
NO3,season,163,3,25.7240473911072,1.121102676097e-13
NO3,dataset,163,4,38.7989128358203,8.58701956463393e-23
NO3,region,163,4,38.7989128358203,8.58701956463393e-23
DSi,season,164,3,20.004125028709,4.23835333540304e-11
DSi,dataset,164,4,17.2711272941441,7.66104877189801e-12
DSi,region,164,4,17.2711272941441,7.66104877189801e-12
DIN.DIP,season,156,3,11.5542360394365,7.00250680405213e-07
DIN.DIP,dataset,156,3,6.73355860404725,0.000266225781948879
DIN.DIP,region,156,3,6.73355860404725,0.000266225781948879
TN.TP,season,136,3,28.6686550654491,1.98572493991428e-14
TN.TP,dataset,136,2,10.9414505680853,3.92517569464103e-05
TN.TP,region,136,2,10.9414505680853,3.92517569464103e-05
chla,season,166,3,30.6934405338151,7.72783429560818e-16
chla,dataset,166,3,25.5538216827222,1.21097232246933e-13
chla,region,166,3,25.5538216827222,1.21097232246933e-13
DO,season,165,3,4.25938474624557,0.00629162820444511
DO,dataset,165,3,17.8245419801212,4.53773834344972e-10
DO,region,165,3,17.8245419801212,4.53773834344972e-10
cond,season,101,3,25.3867439116202,2.54219310332366e-12
cond,dataset,101,1,3.94031859631385,0.049853718158603
cond,region,101,1,3.94031859631385,0.049853718158603
